Summary of the training: 
(' ave_R ', 395.36, ' std_R ', 245.16, ' min_R ', -0.84, ' max_R ', 997.37, ' times ', 84430190, ' epi', 37800, ' clock ', 46.96, ' min')
(' ave_R ', 424.28, ' std_R ', 249.19, ' min_R ', -0.84, ' max_R ', 997.37, ' times ', 84713575, ' epi', 37900, ' clock ', 47.11, ' min')
(' ave_R ', 425.32, ' std_R ', 254.53, ' min_R ', -0.84, ' max_R ', 997.37, ' times ', 84933306, ' epi', 38000, ' clock ', 47.23, ' min')
(' ave_R ', 431.54, ' std_R ', 267.88, ' min_R ', -0.84, ' max_R ', 1135.32, ' times ', 85179028, ' epi', 38100, ' clock ', 47.37, ' min')
(' ave_R ', 435.28, ' std_R ', 284.1, ' min_R ', -0.84, ' max_R ', 1150.87, ' times ', 85429432, ' epi', 38200, ' clock ', 47.51, ' min')
(' ave_R ', 435.75, ' std_R ', 287.43, ' min_R ', -0.84, ' max_R ', 1150.87, ' times ', 85694805, ' epi', 38300, ' clock ', 47.64, ' min')
(' ave_R ', 426.13, ' std_R ', 280.83, ' min_R ', 1.74, ' max_R ', 1150.87, ' times ', 85933612, ' epi', 38400, ' clock ', 47.77, ' min')
(' ave_R ', 414.59, ' std_R ', 277.53, ' min_R ', 1.74, ' max_R ', 1150.87, ' times ', 86192510, ' epi', 38500, ' clock ', 47.91, ' min')
(' ave_R ', 402.08, ' std_R ', 275.45, ' min_R ', 1.74, ' max_R ', 1150.87, ' times ', 86415569, ' epi', 38600, ' clock ', 48.04, ' min')
(' ave_R ', 396.25, ' std_R ', 273.06, ' min_R ', 1.74, ' max_R ', 1150.87, ' times ', 86659981, ' epi', 38700, ' clock ', 48.18, ' min')
(' ave_R ', 400.55, ' std_R ', 279.54, ' min_R ', 0.42, ' max_R ', 1150.87, ' times ', 86881445, ' epi', 38800, ' clock ', 48.3, ' min')
(' ave_R ', 382.43, ' std_R ', 277.61, ' min_R ', 0.42, ' max_R ', 1150.87, ' times ', 87133455, ' epi', 38900, ' clock ', 48.44, ' min')
(' ave_R ', 394.33, ' std_R ', 273.68, ' min_R ', 0.42, ' max_R ', 1150.87, ' times ', 87410636, ' epi', 39000, ' clock ', 48.58, ' min')
(' ave_R ', 390.08, ' std_R ', 257.97, ' min_R ', 0.42, ' max_R ', 1150.87, ' times ', 87673573, ' epi', 39100, ' clock ', 48.72, ' min')
(' ave_R ', 384.99, ' std_R ', 230.93, ' min_R ', 0.42, ' max_R ', 1027.51, ' times ', 87941115, ' epi', 39200, ' clock ', 48.87, ' min')
(' ave_R ', 397.18, ' std_R ', 248.6, ' min_R ', 0.42, ' max_R ', 1296.72, ' times ', 88220072, ' epi', 39300, ' clock ', 49.01, ' min')
(' ave_R ', 393.81, ' std_R ', 248.47, ' min_R ', 0.42, ' max_R ', 1296.72, ' times ', 88478947, ' epi', 39400, ' clock ', 49.15, ' min')
(' ave_R ', 405.05, ' std_R ', 256.05, ' min_R ', 0.42, ' max_R ', 1296.72, ' times ', 88724064, ' epi', 39500, ' clock ', 49.29, ' min')
(' ave_R ', 409.76, ' std_R ', 258.62, ' min_R ', 0.42, ' max_R ', 1296.72, ' times ', 88966721, ' epi', 39600, ' clock ', 49.43, ' min')
(' ave_R ', 426.06, ' std_R ', 260.63, ' min_R ', 0.42, ' max_R ', 1296.72, ' times ', 89262778, ' epi', 39700, ' clock ', 49.57, ' min')
(' ave_R ', 430.39, ' std_R ', 253.43, ' min_R ', 24.26, ' max_R ', 1296.72, ' times ', 89531175, ' epi', 39800, ' clock ', 49.72, ' min')
(' ave_R ', 445.44, ' std_R ', 257.17, ' min_R ', 24.26, ' max_R ', 1296.72, ' times ', 89783723, ' epi', 39900, ' clock ', 49.86, ' min')
(' ave_R ', 449.92, ' std_R ', 254.07, ' min_R ', 24.26, ' max_R ', 1296.72, ' times ', 90048085, ' epi', 40000, ' clock ', 50.0, ' min')
(' ave_R ', 440.57, ' std_R ', 249.5, ' min_R ', 24.26, ' max_R ', 1296.72, ' times ', 90308986, ' epi', 40100, ' clock ', 50.14, ' min')
(' ave_R ', 431.55, ' std_R ', 247.78, ' min_R ', 24.26, ' max_R ', 1296.72, ' times ', 90573185, ' epi', 40200, ' clock ', 50.29, ' min')
(' ave_R ', 418.4, ' std_R ', 224.93, ' min_R ', 30.82, ' max_R ', 1099.59, ' times ', 90830465, ' epi', 40300, ' clock ', 50.43, ' min')
(' ave_R ', 425.28, ' std_R ', 227.81, ' min_R ', 30.82, ' max_R ', 1000.6, ' times ', 91091250, ' epi', 40400, ' clock ', 50.56, ' min')
(' ave_R ', 411.42, ' std_R ', 217.56, ' min_R ', 30.82, ' max_R ', 1000.6, ' times ', 91353255, ' epi', 40500, ' clock ', 50.7, ' min')
(' ave_R ', 417.96, ' std_R ', 214.85, ' min_R ', 35.84, ' max_R ', 1000.6, ' times ', 91586305, ' epi', 40600, ' clock ', 50.83, ' min')
(' ave_R ', 421.07, ' std_R ', 218.13, ' min_R ', 35.84, ' max_R ', 993.76, ' times ', 91848640, ' epi', 40700, ' clock ', 50.97, ' min')
(' ave_R ', 424.99, ' std_R ', 223.56, ' min_R ', 30.23, ' max_R ', 993.76, ' times ', 92080842, ' epi', 40800, ' clock ', 51.1, ' min')
(' ave_R ', 428.88, ' std_R ', 215.73, ' min_R ', 30.23, ' max_R ', 993.76, ' times ', 92355359, ' epi', 40900, ' clock ', 51.24, ' min')
(' ave_R ', 420.52, ' std_R ', 215.84, ' min_R ', 30.23, ' max_R ', 993.76, ' times ', 92646745, ' epi', 41000, ' clock ', 51.38, ' min')
(' ave_R ', 420.25, ' std_R ', 223.45, ' min_R ', 30.23, ' max_R ', 1072.48, ' times ', 92906842, ' epi', 41100, ' clock ', 51.52, ' min')
(' ave_R ', 426.13, ' std_R ', 227.59, ' min_R ', 26.39, ' max_R ', 1072.48, ' times ', 93173740, ' epi', 41200, ' clock ', 51.65, ' min')
(' ave_R ', 443.23, ' std_R ', 243.58, ' min_R ', 26.39, ' max_R ', 1139.84, ' times ', 93458969, ' epi', 41300, ' clock ', 51.8, ' min')
(' ave_R ', 437.3, ' std_R ', 237.36, ' min_R ', 26.39, ' max_R ', 1139.84, ' times ', 93714531, ' epi', 41400, ' clock ', 51.94, ' min')
(' ave_R ', 442.23, ' std_R ', 237.53, ' min_R ', 26.39, ' max_R ', 1139.84, ' times ', 93964735, ' epi', 41500, ' clock ', 52.07, ' min')
(' ave_R ', 468.28, ' std_R ', 245.08, ' min_R ', 26.39, ' max_R ', 1245.21, ' times ', 94260133, ' epi', 41600, ' clock ', 52.22, ' min')
(' ave_R ', 476.5, ' std_R ', 254.4, ' min_R ', 26.39, ' max_R ', 1245.21, ' times ', 94524369, ' epi', 41700, ' clock ', 52.36, ' min')
(' ave_R ', 486.17, ' std_R ', 252.9, ' min_R ', 26.39, ' max_R ', 1245.21, ' times ', 94769482, ' epi', 41800, ' clock ', 52.49, ' min')
(' ave_R ', 476.87, ' std_R ', 256.78, ' min_R ', 26.39, ' max_R ', 1245.21, ' times ', 95010730, ' epi', 41900, ' clock ', 52.62, ' min')
(' ave_R ', 492.92, ' std_R ', 273.54, ' min_R ', 26.39, ' max_R ', 1248.46, ' times ', 95253343, ' epi', 42000, ' clock ', 52.75, ' min')
(' ave_R ', 498.37, ' std_R ', 267.01, ' min_R ', 26.39, ' max_R ', 1248.46, ' times ', 95514288, ' epi', 42100, ' clock ', 52.89, ' min')
(' ave_R ', 501.54, ' std_R ', 270.57, ' min_R ', 27.82, ' max_R ', 1248.46, ' times ', 95746589, ' epi', 42200, ' clock ', 53.02, ' min')
(' ave_R ', 487.51, ' std_R ', 267.0, ' min_R ', 27.82, ' max_R ', 1248.46, ' times ', 95993264, ' epi', 42300, ' clock ', 53.16, ' min')
(' ave_R ', 491.36, ' std_R ', 263.22, ' min_R ', 27.82, ' max_R ', 1248.46, ' times ', 96232629, ' epi', 42400, ' clock ', 53.28, ' min')
(' ave_R ', 514.06, ' std_R ', 265.66, ' min_R ', 27.82, ' max_R ', 1248.46, ' times ', 96489489, ' epi', 42500, ' clock ', 53.42, ' min')
(' ave_R ', 515.4, ' std_R ', 267.72, ' min_R ', 27.82, ' max_R ', 1248.46, ' times ', 96775359, ' epi', 42600, ' clock ', 53.56, ' min')
(' ave_R ', 515.37, ' std_R ', 261.12, ' min_R ', 27.82, ' max_R ', 1248.46, ' times ', 97053296, ' epi', 42700, ' clock ', 53.71, ' min')
(' ave_R ', 504.2, ' std_R ', 268.52, ' min_R ', 27.82, ' max_R ', 1248.46, ' times ', 97324187, ' epi', 42800, ' clock ', 53.85, ' min')
(' ave_R ', 519.35, ' std_R ', 269.31, ' min_R ', 29.26, ' max_R ', 1248.46, ' times ', 97592139, ' epi', 42900, ' clock ', 53.99, ' min')
(' ave_R ', 521.16, ' std_R ', 259.23, ' min_R ', 29.26, ' max_R ', 1148.37, ' times ', 97865543, ' epi', 43000, ' clock ', 54.13, ' min')
(' ave_R ', 536.03, ' std_R ', 259.97, ' min_R ', 29.26, ' max_R ', 1148.37, ' times ', 98132729, ' epi', 43100, ' clock ', 54.26, ' min')
(' ave_R ', 534.94, ' std_R ', 259.7, ' min_R ', 29.26, ' max_R ', 1160.04, ' times ', 98387984, ' epi', 43200, ' clock ', 54.41, ' min')
(' ave_R ', 543.11, ' std_R ', 256.51, ' min_R ', 29.26, ' max_R ', 1160.04, ' times ', 98668691, ' epi', 43300, ' clock ', 54.55, ' min')
(' ave_R ', 561.05, ' std_R ', 277.36, ' min_R ', 29.26, ' max_R ', 1171.93, ' times ', 98928005, ' epi', 43400, ' clock ', 54.68, ' min')
(' ave_R ', 562.09, ' std_R ', 282.59, ' min_R ', 29.26, ' max_R ', 1171.93, ' times ', 99188487, ' epi', 43500, ' clock ', 54.82, ' min')
(' ave_R ', 545.61, ' std_R ', 281.25, ' min_R ', 29.26, ' max_R ', 1171.93, ' times ', 99461373, ' epi', 43600, ' clock ', 54.95, ' min')
(' ave_R ', 542.48, ' std_R ', 281.01, ' min_R ', 29.26, ' max_R ', 1171.93, ' times ', 99738658, ' epi', 43700, ' clock ', 55.09, ' min')
(' ave_R ', 563.76, ' std_R ', 280.81, ' min_R ', 32.86, ' max_R ', 1366.99, ' times ', 99994134, ' epi', 43800, ' clock ', 55.23, ' min')
(' ave_R ', 546.49, ' std_R ', 278.14, ' min_R ', 32.86, ' max_R ', 1366.99, ' times ', 100266908, ' epi', 43900, ' clock ', 55.37, ' min')
(' ave_R ', 538.45, ' std_R ', 289.88, ' min_R ', 32.86, ' max_R ', 1366.99, ' times ', 100534784, ' epi', 44000, ' clock ', 55.51, ' min')
(' ave_R ', 535.65, ' std_R ', 291.45, ' min_R ', 32.86, ' max_R ', 1366.99, ' times ', 100803642, ' epi', 44100, ' clock ', 55.64, ' min')
(' ave_R ', 540.81, ' std_R ', 294.88, ' min_R ', 32.86, ' max_R ', 1366.99, ' times ', 101067968, ' epi', 44200, ' clock ', 55.78, ' min')
(' ave_R ', 527.2, ' std_R ', 298.0, ' min_R ', -0.02, ' max_R ', 1366.99, ' times ', 101351987, ' epi', 44300, ' clock ', 55.92, ' min')
(' ave_R ', 522.95, ' std_R ', 292.55, ' min_R ', -0.02, ' max_R ', 1366.99, ' times ', 101603374, ' epi', 44400, ' clock ', 56.05, ' min')
(' ave_R ', 526.39, ' std_R ', 297.69, ' min_R ', -0.02, ' max_R ', 1372.89, ' times ', 101878133, ' epi', 44500, ' clock ', 56.19, ' min')
(' ave_R ', 535.7, ' std_R ', 299.65, ' min_R ', -0.02, ' max_R ', 1372.89, ' times ', 102149678, ' epi', 44600, ' clock ', 56.33, ' min')
(' ave_R ', 523.99, ' std_R ', 296.9, ' min_R ', -0.02, ' max_R ', 1372.89, ' times ', 102401698, ' epi', 44700, ' clock ', 56.46, ' min')
(' ave_R ', 518.24, ' std_R ', 289.56, ' min_R ', -0.02, ' max_R ', 1372.89, ' times ', 102694132, ' epi', 44800, ' clock ', 56.61, ' min')
(' ave_R ', 522.36, ' std_R ', 297.96, ' min_R ', -0.02, ' max_R ', 1372.89, ' times ', 102956508, ' epi', 44900, ' clock ', 56.74, ' min')
(' ave_R ', 531.99, ' std_R ', 293.81, ' min_R ', -0.02, ' max_R ', 1372.89, ' times ', 103237251, ' epi', 45000, ' clock ', 56.88, ' min')
(' ave_R ', 543.45, ' std_R ', 298.28, ' min_R ', -0.02, ' max_R ', 1372.89, ' times ', 103482975, ' epi', 45100, ' clock ', 57.02, ' min')
(' ave_R ', 537.08, ' std_R ', 303.47, ' min_R ', -0.02, ' max_R ', 1372.89, ' times ', 103701561, ' epi', 45200, ' clock ', 57.15, ' min')
(' ave_R ', 554.41, ' std_R ', 304.25, ' min_R ', 2.08, ' max_R ', 1372.89, ' times ', 103961590, ' epi', 45300, ' clock ', 57.28, ' min')
(' ave_R ', 544.16, ' std_R ', 296.49, ' min_R ', 2.08, ' max_R ', 1372.89, ' times ', 104218359, ' epi', 45400, ' clock ', 57.42, ' min')
(' ave_R ', 521.8, ' std_R ', 292.3, ' min_R ', 2.08, ' max_R ', 1244.65, ' times ', 104467251, ' epi', 45500, ' clock ', 57.56, ' min')
(' ave_R ', 530.67, ' std_R ', 301.54, ' min_R ', 2.08, ' max_R ', 1244.65, ' times ', 104746709, ' epi', 45600, ' clock ', 57.7, ' min')
(' ave_R ', 551.99, ' std_R ', 305.22, ' min_R ', 2.08, ' max_R ', 1244.65, ' times ', 105027086, ' epi', 45700, ' clock ', 57.84, ' min')
(' ave_R ', 550.51, ' std_R ', 307.81, ' min_R ', 2.08, ' max_R ', 1244.65, ' times ', 105285503, ' epi', 45800, ' clock ', 57.97, ' min')
(' ave_R ', 559.26, ' std_R ', 309.24, ' min_R ', 2.08, ' max_R ', 1244.65, ' times ', 105524361, ' epi', 45900, ' clock ', 58.11, ' min')
(' ave_R ', 571.08, ' std_R ', 304.36, ' min_R ', 2.08, ' max_R ', 1221.56, ' times ', 105796470, ' epi', 46000, ' clock ', 58.25, ' min')
(' ave_R ', 567.58, ' std_R ', 306.44, ' min_R ', 2.08, ' max_R ', 1221.56, ' times ', 106065007, ' epi', 46100, ' clock ', 58.38, ' min')
(' ave_R ', 592.34, ' std_R ', 308.75, ' min_R ', 30.21, ' max_R ', 1380.02, ' times ', 106345594, ' epi', 46200, ' clock ', 58.53, ' min')
(' ave_R ', 574.5, ' std_R ', 310.84, ' min_R ', 30.21, ' max_R ', 1380.02, ' times ', 106627582, ' epi', 46300, ' clock ', 58.68, ' min')
(' ave_R ', 569.66, ' std_R ', 316.37, ' min_R ', 28.76, ' max_R ', 1380.02, ' times ', 106886288, ' epi', 46400, ' clock ', 58.82, ' min')
(' ave_R ', 577.99, ' std_R ', 313.41, ' min_R ', 11.28, ' max_R ', 1380.02, ' times ', 107135177, ' epi', 46500, ' clock ', 58.95, ' min')
(' ave_R ', 570.23, ' std_R ', 304.41, ' min_R ', 11.28, ' max_R ', 1380.02, ' times ', 107404067, ' epi', 46600, ' clock ', 59.09, ' min')
(' ave_R ', 557.57, ' std_R ', 303.4, ' min_R ', 11.28, ' max_R ', 1380.02, ' times ', 107672054, ' epi', 46700, ' clock ', 59.23, ' min')
(' ave_R ', 559.36, ' std_R ', 306.39, ' min_R ', -0.04, ' max_R ', 1380.02, ' times ', 107931731, ' epi', 46800, ' clock ', 59.36, ' min')
(' ave_R ', 555.26, ' std_R ', 296.02, ' min_R ', -0.04, ' max_R ', 1380.02, ' times ', 108210193, ' epi', 46900, ' clock ', 59.5, ' min')
(' ave_R ', 527.26, ' std_R ', 290.0, ' min_R ', -0.04, ' max_R ', 1380.02, ' times ', 108459656, ' epi', 47000, ' clock ', 59.64, ' min')
(' ave_R ', 519.2, ' std_R ', 281.46, ' min_R ', -0.04, ' max_R ', 1380.02, ' times ', 108734619, ' epi', 47100, ' clock ', 59.78, ' min')
(' ave_R ', 516.66, ' std_R ', 268.6, ' min_R ', -0.04, ' max_R ', 1217.62, ' times ', 109000213, ' epi', 47200, ' clock ', 59.92, ' min')
(' ave_R ', 527.01, ' std_R ', 270.79, ' min_R ', -0.04, ' max_R ', 1217.62, ' times ', 109273168, ' epi', 47300, ' clock ', 60.06, ' min')
(' ave_R ', 562.37, ' std_R ', 281.08, ' min_R ', -0.04, ' max_R ', 1217.62, ' times ', 109560565, ' epi', 47400, ' clock ', 60.2, ' min')
(' ave_R ', 574.74, ' std_R ', 285.33, ' min_R ', -0.04, ' max_R ', 1247.17, ' times ', 109819317, ' epi', 47500, ' clock ', 60.34, ' min')
(' ave_R ', 576.01, ' std_R ', 299.31, ' min_R ', -0.11, ' max_R ', 1247.17, ' times ', 110051287, ' epi', 47600, ' clock ', 60.47, ' min')
(' ave_R ', 588.02, ' std_R ', 301.24, ' min_R ', -0.11, ' max_R ', 1247.17, ' times ', 110313136, ' epi', 47700, ' clock ', 60.61, ' min')
(' ave_R ', 602.29, ' std_R ', 300.43, ' min_R ', -0.11, ' max_R ', 1247.17, ' times ', 110594353, ' epi', 47800, ' clock ', 60.75, ' min')
(' ave_R ', 587.06, ' std_R ', 307.53, ' min_R ', -0.11, ' max_R ', 1247.17, ' times ', 110869121, ' epi', 47900, ' clock ', 60.89, ' min')
(' ave_R ', 592.53, ' std_R ', 310.15, ' min_R ', -0.31, ' max_R ', 1247.17, ' times ', 111122173, ' epi', 48000, ' clock ', 61.03, ' min')
(' ave_R ', 600.28, ' std_R ', 314.88, ' min_R ', -0.31, ' max_R ', 1247.17, ' times ', 111390561, ' epi', 48100, ' clock ', 61.16, ' min')
(' ave_R ', 587.4, ' std_R ', 310.05, ' min_R ', -0.31, ' max_R ', 1247.17, ' times ', 111661533, ' epi', 48200, ' clock ', 61.3, ' min')
(' ave_R ', 608.53, ' std_R ', 306.45, ' min_R ', -0.31, ' max_R ', 1247.17, ' times ', 111938941, ' epi', 48300, ' clock ', 61.44, ' min')
(' ave_R ', 593.64, ' std_R ', 301.65, ' min_R ', -0.31, ' max_R ', 1320.04, ' times ', 112222713, ' epi', 48400, ' clock ', 61.59, ' min')
(' ave_R ', 580.83, ' std_R ', 295.26, ' min_R ', -0.31, ' max_R ', 1320.04, ' times ', 112485428, ' epi', 48500, ' clock ', 61.73, ' min')
(' ave_R ', 575.97, ' std_R ', 284.65, ' min_R ', -0.31, ' max_R ', 1320.04, ' times ', 112761790, ' epi', 48600, ' clock ', 61.87, ' min')
(' ave_R ', 558.19, ' std_R ', 282.16, ' min_R ', -0.31, ' max_R ', 1320.04, ' times ', 113015948, ' epi', 48700, ' clock ', 62.01, ' min')
(' ave_R ', 545.05, ' std_R ', 277.31, ' min_R ', -0.31, ' max_R ', 1320.04, ' times ', 113292898, ' epi', 48800, ' clock ', 62.15, ' min')
(' ave_R ', 552.02, ' std_R ', 272.46, ' min_R ', -0.31, ' max_R ', 1320.04, ' times ', 113551873, ' epi', 48900, ' clock ', 62.29, ' min')
(' ave_R ', 554.3, ' std_R ', 272.55, ' min_R ', 7.7, ' max_R ', 1320.04, ' times ', 113825423, ' epi', 49000, ' clock ', 62.42, ' min')
(' ave_R ', 555.54, ' std_R ', 261.21, ' min_R ', 7.7, ' max_R ', 1320.04, ' times ', 114106299, ' epi', 49100, ' clock ', 62.56, ' min')
(' ave_R ', 568.94, ' std_R ', 275.03, ' min_R ', 7.7, ' max_R ', 1320.04, ' times ', 114387308, ' epi', 49200, ' clock ', 62.7, ' min')
(' ave_R ', 556.29, ' std_R ', 273.87, ' min_R ', 7.7, ' max_R ', 1320.04, ' times ', 114662811, ' epi', 49300, ' clock ', 62.85, ' min')
(' ave_R ', 547.36, ' std_R ', 268.18, ' min_R ', 7.7, ' max_R ', 1171.45, ' times ', 114953038, ' epi', 49400, ' clock ', 62.99, ' min')
(' ave_R ', 545.41, ' std_R ', 279.55, ' min_R ', -0.42, ' max_R ', 1171.45, ' times ', 115170318, ' epi', 49500, ' clock ', 63.11, ' min')
(' ave_R ', 552.94, ' std_R ', 278.05, ' min_R ', -0.42, ' max_R ', 1171.45, ' times ', 115438919, ' epi', 49600, ' clock ', 63.25, ' min')
(' ave_R ', 565.55, ' std_R ', 281.56, ' min_R ', -0.42, ' max_R ', 1171.45, ' times ', 115705896, ' epi', 49700, ' clock ', 63.39, ' min')
(' ave_R ', 571.88, ' std_R ', 285.21, ' min_R ', -0.42, ' max_R ', 1161.93, ' times ', 115983371, ' epi', 49800, ' clock ', 63.54, ' min')
(' ave_R ', 578.25, ' std_R ', 289.33, ' min_R ', -0.42, ' max_R ', 1161.93, ' times ', 116241642, ' epi', 49900, ' clock ', 63.67, ' min')
(' ave_R ', 600.14, ' std_R ', 301.19, ' min_R ', -0.42, ' max_R ', 1185.56, ' times ', 116519150, ' epi', 50000, ' clock ', 63.81, ' min')
(' ave_R ', 579.57, ' std_R ', 317.15, ' min_R ', -0.42, ' max_R ', 1185.56, ' times ', 116781342, ' epi', 50100, ' clock ', 63.95, ' min')
(' ave_R ', 595.15, ' std_R ', 320.83, ' min_R ', -0.42, ' max_R ', 1344.63, ' times ', 117076750, ' epi', 50200, ' clock ', 64.1, ' min')
(' ave_R ', 578.24, ' std_R ', 321.92, ' min_R ', -0.42, ' max_R ', 1344.63, ' times ', 117330040, ' epi', 50300, ' clock ', 64.24, ' min')
(' ave_R ', 574.37, ' std_R ', 325.14, ' min_R ', -0.42, ' max_R ', 1344.63, ' times ', 117614145, ' epi', 50400, ' clock ', 64.38, ' min')
(' ave_R ', 569.62, ' std_R ', 312.89, ' min_R ', 2.62, ' max_R ', 1344.63, ' times ', 117871491, ' epi', 50500, ' clock ', 64.51, ' min')
(' ave_R ', 558.98, ' std_R ', 312.46, ' min_R ', 2.62, ' max_R ', 1344.63, ' times ', 118125622, ' epi', 50600, ' clock ', 64.64, ' min')
(' ave_R ', 544.42, ' std_R ', 308.42, ' min_R ', 2.62, ' max_R ', 1344.63, ' times ', 118394770, ' epi', 50700, ' clock ', 64.78, ' min')
(' ave_R ', 540.11, ' std_R ', 308.13, ' min_R ', 2.62, ' max_R ', 1344.63, ' times ', 118653191, ' epi', 50800, ' clock ', 64.92, ' min')
(' ave_R ', 582.69, ' std_R ', 332.05, ' min_R ', 2.62, ' max_R ', 1377.77, ' times ', 118943872, ' epi', 50900, ' clock ', 65.06, ' min')
(' ave_R ', 562.16, ' std_R ', 319.8, ' min_R ', 2.62, ' max_R ', 1377.77, ' times ', 119213434, ' epi', 51000, ' clock ', 65.21, ' min')
(' ave_R ', 603.79, ' std_R ', 316.45, ' min_R ', 4.48, ' max_R ', 1377.77, ' times ', 119501969, ' epi', 51100, ' clock ', 65.36, ' min')
(' ave_R ', 600.77, ' std_R ', 314.31, ' min_R ', 4.48, ' max_R ', 1377.77, ' times ', 119791714, ' epi', 51200, ' clock ', 65.5, ' min')
(' ave_R ', 626.29, ' std_R ', 319.98, ' min_R ', 4.48, ' max_R ', 1377.77, ' times ', 120066496, ' epi', 51300, ' clock ', 65.64, ' min')
(' ave_R ', 613.31, ' std_R ', 317.11, ' min_R ', 4.48, ' max_R ', 1377.77, ' times ', 120328134, ' epi', 51400, ' clock ', 65.78, ' min')
(' ave_R ', 625.9, ' std_R ', 316.11, ' min_R ', 4.48, ' max_R ', 1377.77, ' times ', 120607942, ' epi', 51500, ' clock ', 65.93, ' min')
(' ave_R ', 641.3, ' std_R ', 314.09, ' min_R ', 4.48, ' max_R ', 1377.77, ' times ', 120878301, ' epi', 51600, ' clock ', 66.07, ' min')
(' ave_R ', 649.7, ' std_R ', 315.89, ' min_R ', -0.17, ' max_R ', 1377.77, ' times ', 121137241, ' epi', 51700, ' clock ', 66.21, ' min')
(' ave_R ', 663.45, ' std_R ', 320.32, ' min_R ', -0.17, ' max_R ', 1377.77, ' times ', 121416945, ' epi', 51800, ' clock ', 66.35, ' min')
(' ave_R ', 604.87, ' std_R ', 309.01, ' min_R ', -0.17, ' max_R ', 1291.72, ' times ', 121662187, ' epi', 51900, ' clock ', 66.49, ' min')
(' ave_R ', 606.9, ' std_R ', 303.28, ' min_R ', -0.17, ' max_R ', 1291.72, ' times ', 121944734, ' epi', 52000, ' clock ', 66.63, ' min')
(' ave_R ', 560.2, ' std_R ', 301.04, ' min_R ', -0.17, ' max_R ', 1291.72, ' times ', 122202867, ' epi', 52100, ' clock ', 66.77, ' min')
(' ave_R ', 523.08, ' std_R ', 286.24, ' min_R ', -0.17, ' max_R ', 1291.72, ' times ', 122481890, ' epi', 52200, ' clock ', 66.91, ' min')
(' ave_R ', 519.02, ' std_R ', 288.61, ' min_R ', -0.17, ' max_R ', 1456.58, ' times ', 122747173, ' epi', 52300, ' clock ', 67.05, ' min')
(' ave_R ', 534.43, ' std_R ', 302.79, ' min_R ', -0.17, ' max_R ', 1558.44, ' times ', 123004142, ' epi', 52400, ' clock ', 67.19, ' min')
(' ave_R ', 551.23, ' std_R ', 312.62, ' min_R ', -0.17, ' max_R ', 1558.44, ' times ', 123279636, ' epi', 52500, ' clock ', 67.33, ' min')
(' ave_R ', 539.46, ' std_R ', 317.13, ' min_R ', -0.17, ' max_R ', 1558.44, ' times ', 123507097, ' epi', 52600, ' clock ', 67.46, ' min')
(' ave_R ', 542.61, ' std_R ', 316.76, ' min_R ', 8.88, ' max_R ', 1558.44, ' times ', 123795003, ' epi', 52700, ' clock ', 67.61, ' min')
(' ave_R ', 516.45, ' std_R ', 299.29, ' min_R ', 8.88, ' max_R ', 1558.44, ' times ', 124047846, ' epi', 52800, ' clock ', 67.75, ' min')
(' ave_R ', 512.32, ' std_R ', 299.54, ' min_R ', 8.88, ' max_R ', 1558.44, ' times ', 124298252, ' epi', 52900, ' clock ', 67.88, ' min')
(' ave_R ', 492.73, ' std_R ', 304.36, ' min_R ', 8.88, ' max_R ', 1558.44, ' times ', 124517644, ' epi', 53000, ' clock ', 68.0, ' min')
(' ave_R ', 508.35, ' std_R ', 308.34, ' min_R ', 8.88, ' max_R ', 1558.44, ' times ', 124768088, ' epi', 53100, ' clock ', 68.14, ' min')
(' ave_R ', 536.01, ' std_R ', 320.08, ' min_R ', 8.88, ' max_R ', 1558.44, ' times ', 125052036, ' epi', 53200, ' clock ', 68.28, ' min')
(' ave_R ', 548.96, ' std_R ', 314.41, ' min_R ', 8.88, ' max_R ', 1558.44, ' times ', 125340226, ' epi', 53300, ' clock ', 68.43, ' min')
(' ave_R ', 542.04, ' std_R ', 304.7, ' min_R ', -0.25, ' max_R ', 1243.19, ' times ', 125594183, ' epi', 53400, ' clock ', 68.57, ' min')
(' ave_R ', 537.12, ' std_R ', 301.32, ' min_R ', -0.25, ' max_R ', 1243.19, ' times ', 125857986, ' epi', 53500, ' clock ', 68.71, ' min')
(' ave_R ', 534.39, ' std_R ', 304.29, ' min_R ', -0.25, ' max_R ', 1243.19, ' times ', 126124503, ' epi', 53600, ' clock ', 68.85, ' min')
(' ave_R ', 554.31, ' std_R ', 308.13, ' min_R ', -0.25, ' max_R ', 1243.19, ' times ', 126412322, ' epi', 53700, ' clock ', 69.0, ' min')
(' ave_R ', 570.34, ' std_R ', 313.56, ' min_R ', -0.25, ' max_R ', 1243.19, ' times ', 126687541, ' epi', 53800, ' clock ', 69.14, ' min')
(' ave_R ', 587.93, ' std_R ', 310.42, ' min_R ', -0.25, ' max_R ', 1243.19, ' times ', 126920651, ' epi', 53900, ' clock ', 69.27, ' min')
(' ave_R ', 616.58, ' std_R ', 308.63, ' min_R ', -0.25, ' max_R ', 1243.19, ' times ', 127167339, ' epi', 54000, ' clock ', 69.41, ' min')
(' ave_R ', 605.37, ' std_R ', 307.48, ' min_R ', -0.25, ' max_R ', 1243.19, ' times ', 127399598, ' epi', 54100, ' clock ', 69.54, ' min')
