Summary of the training: 
(' ave_R ', 47.12, ' std_R ', 58.22, ' min_R ', -0.63, ' max_R ', 618.96, ' times ', 1739117, ' epi', 3900, ' clock ', 1.44, ' min')
(' ave_R ', 52.48, ' std_R ', 65.31, ' min_R ', -1.84, ' max_R ', 618.96, ' times ', 1874313, ' epi', 4000, ' clock ', 1.56, ' min')
(' ave_R ', 58.59, ' std_R ', 69.21, ' min_R ', -1.84, ' max_R ', 618.96, ' times ', 2010425, ' epi', 4100, ' clock ', 1.68, ' min')
(' ave_R ', 58.08, ' std_R ', 70.36, ' min_R ', -1.84, ' max_R ', 618.96, ' times ', 2133932, ' epi', 4200, ' clock ', 1.79, ' min')
(' ave_R ', 63.69, ' std_R ', 74.42, ' min_R ', -1.84, ' max_R ', 618.96, ' times ', 2289466, ' epi', 4300, ' clock ', 1.91, ' min')
(' ave_R ', 69.58, ' std_R ', 80.75, ' min_R ', -1.84, ' max_R ', 618.96, ' times ', 2451973, ' epi', 4400, ' clock ', 2.02, ' min')
(' ave_R ', 73.45, ' std_R ', 83.2, ' min_R ', -1.84, ' max_R ', 618.96, ' times ', 2611199, ' epi', 4500, ' clock ', 2.14, ' min')
(' ave_R ', 85.96, ' std_R ', 100.33, ' min_R ', -7.27, ' max_R ', 618.96, ' times ', 2853877, ' epi', 4600, ' clock ', 2.28, ' min')
(' ave_R ', 93.27, ' std_R ', 107.83, ' min_R ', -7.27, ' max_R ', 618.96, ' times ', 3073550, ' epi', 4700, ' clock ', 2.41, ' min')
(' ave_R ', 95.85, ' std_R ', 104.35, ' min_R ', -7.27, ' max_R ', 611.73, ' times ', 3259997, ' epi', 4800, ' clock ', 2.53, ' min')
(' ave_R ', 98.91, ' std_R ', 107.22, ' min_R ', -7.27, ' max_R ', 611.73, ' times ', 3454238, ' epi', 4900, ' clock ', 2.66, ' min')
(' ave_R ', 102.34, ' std_R ', 112.75, ' min_R ', -7.27, ' max_R ', 611.73, ' times ', 3629851, ' epi', 5000, ' clock ', 2.77, ' min')
(' ave_R ', 103.62, ' std_R ', 115.58, ' min_R ', -7.27, ' max_R ', 611.73, ' times ', 3810881, ' epi', 5100, ' clock ', 2.89, ' min')
(' ave_R ', 108.26, ' std_R ', 117.52, ' min_R ', -7.27, ' max_R ', 611.73, ' times ', 3995586, ' epi', 5200, ' clock ', 3.01, ' min')
(' ave_R ', 115.88, ' std_R ', 124.2, ' min_R ', -7.27, ' max_R ', 647.25, ' times ', 4200065, ' epi', 5300, ' clock ', 3.13, ' min')
(' ave_R ', 113.17, ' std_R ', 123.25, ' min_R ', -7.27, ' max_R ', 647.25, ' times ', 4400175, ' epi', 5400, ' clock ', 3.26, ' min')
(' ave_R ', 121.88, ' std_R ', 127.61, ' min_R ', -7.27, ' max_R ', 647.25, ' times ', 4635016, ' epi', 5500, ' clock ', 3.39, ' min')
(' ave_R ', 121.2, ' std_R ', 122.35, ' min_R ', -5.87, ' max_R ', 647.25, ' times ', 4878185, ' epi', 5600, ' clock ', 3.53, ' min')
(' ave_R ', 122.51, ' std_R ', 117.65, ' min_R ', -5.87, ' max_R ', 647.25, ' times ', 5140902, ' epi', 5700, ' clock ', 3.67, ' min')
(' ave_R ', 126.22, ' std_R ', 123.6, ' min_R ', -6.22, ' max_R ', 647.25, ' times ', 5407254, ' epi', 5800, ' clock ', 3.81, ' min')
