Summary of the training: 
(' ave_R ', 340.89, ' std_R ', 168.56, ' min_R ', 59.39, ' max_R ', 600.26, ' times ', 3183029)
(' ave_R ', 342.19, ' std_R ', 201.13, ' min_R ', 22.0, ' max_R ', 754.6, ' times ', 3312917)
(' ave_R ', 351.81, ' std_R ', 184.08, ' min_R ', 62.15, ' max_R ', 717.8, ' times ', 3444095)
(' ave_R ', 370.26, ' std_R ', 250.34, ' min_R ', -8.1, ' max_R ', 877.09, ' times ', 3557427)
(' ave_R ', 304.59, ' std_R ', 169.61, ' min_R ', 67.74, ' max_R ', 712.22, ' times ', 3668641)
(' ave_R ', 421.43, ' std_R ', 237.56, ' min_R ', 71.53, ' max_R ', 899.37, ' times ', 3799639)
(' ave_R ', 451.18, ' std_R ', 284.17, ' min_R ', -29.02, ' max_R ', 953.07, ' times ', 3932757)
(' ave_R ', 434.16, ' std_R ', 255.96, ' min_R ', -33.33, ' max_R ', 961.13, ' times ', 4069293)
(' ave_R ', 402.04, ' std_R ', 247.29, ' min_R ', 8.65, ' max_R ', 898.98, ' times ', 4195037)
(' ave_R ', 541.0, ' std_R ', 213.03, ' min_R ', 201.68, ' max_R ', 888.97, ' times ', 4351837)
(' ave_R ', 346.87, ' std_R ', 274.66, ' min_R ', -6.13, ' max_R ', 833.64, ' times ', 4476195)
(' ave_R ', 503.07, ' std_R ', 219.75, ' min_R ', 29.32, ' max_R ', 970.97, ' times ', 4619537)
(' ave_R ', 416.3, ' std_R ', 305.17, ' min_R ', 5.23, ' max_R ', 934.67, ' times ', 4734658)
(' ave_R ', 455.62, ' std_R ', 313.88, ' min_R ', 27.13, ' max_R ', 1108.06, ' times ', 4861085)
(' ave_R ', 512.91, ' std_R ', 237.45, ' min_R ', 129.75, ' max_R ', 842.49, ' times ', 5001511)
(' ave_R ', 481.38, ' std_R ', 253.75, ' min_R ', 32.9, ' max_R ', 1089.37, ' times ', 5143942)
(' ave_R ', 513.76, ' std_R ', 296.29, ' min_R ', -22.66, ' max_R ', 1173.49, ' times ', 5284110)
(' ave_R ', 411.25, ' std_R ', 251.65, ' min_R ', 60.85, ' max_R ', 1002.45, ' times ', 5416671)
(' ave_R ', 466.53, ' std_R ', 289.48, ' min_R ', 34.87, ' max_R ', 1082.26, ' times ', 5553688)
(' ave_R ', 450.39, ' std_R ', 318.71, ' min_R ', -37.53, ' max_R ', 1065.31, ' times ', 5689850)
(' ave_R ', 397.98, ' std_R ', 295.66, ' min_R ', 21.52, ' max_R ', 955.99, ' times ', 5809755)
(' ave_R ', 478.79, ' std_R ', 336.57, ' min_R ', -178.68, ' max_R ', 1078.58, ' times ', 5961135)
(' ave_R ', 530.05, ' std_R ', 308.41, ' min_R ', -42.74, ' max_R ', 995.02, ' times ', 6102460)
(' ave_R ', 621.54, ' std_R ', 328.2, ' min_R ', 1.65, ' max_R ', 1096.53, ' times ', 6261067)
(' ave_R ', 582.57, ' std_R ', 302.3, ' min_R ', 105.6, ' max_R ', 1075.69, ' times ', 6399707)
(' ave_R ', 493.97, ' std_R ', 354.61, ' min_R ', 5.92, ' max_R ', 1046.12, ' times ', 6535579)
(' ave_R ', 557.27, ' std_R ', 321.92, ' min_R ', 14.71, ' max_R ', 1206.5, ' times ', 6670831)
(' ave_R ', 492.26, ' std_R ', 291.56, ' min_R ', -79.5, ' max_R ', 1198.12, ' times ', 6806514)
(' ave_R ', 539.97, ' std_R ', 380.18, ' min_R ', 11.86, ' max_R ', 1195.28, ' times ', 6937122)
(' ave_R ', 507.04, ' std_R ', 318.08, ' min_R ', 63.74, ' max_R ', 1044.59, ' times ', 7066798)
(' ave_R ', 537.62, ' std_R ', 333.54, ' min_R ', 65.85, ' max_R ', 1169.15, ' times ', 7200144)
(' ave_R ', 532.56, ' std_R ', 329.89, ' min_R ', -33.97, ' max_R ', 1203.47, ' times ', 7341016)
(' ave_R ', 652.0, ' std_R ', 316.17, ' min_R ', 74.09, ' max_R ', 1170.38, ' times ', 7487963)
(' ave_R ', 629.92, ' std_R ', 225.72, ' min_R ', 59.92, ' max_R ', 1020.22, ' times ', 7644640)
(' ave_R ', 643.84, ' std_R ', 303.08, ' min_R ', 37.95, ' max_R ', 1099.56, ' times ', 7792844)
(' ave_R ', 509.7, ' std_R ', 313.11, ' min_R ', 38.0, ' max_R ', 1055.44, ' times ', 7929326)
(' ave_R ', 594.39, ' std_R ', 284.26, ' min_R ', 123.49, ' max_R ', 1145.15, ' times ', 8086921)
(' ave_R ', 715.33, ' std_R ', 350.74, ' min_R ', 84.75, ' max_R ', 1231.19, ' times ', 8243262)
(' ave_R ', 716.6, ' std_R ', 303.47, ' min_R ', 14.15, ' max_R ', 1196.78, ' times ', 8401969)
