None
(' ave_R ', 16.23, ' std_R ', 18.71, ' min_R ', 2.86, ' max_R ', 69.69, ' times ', 5183)
(' ave_R ', 11.59, ' std_R ', 7.58, ' min_R ', 2.72, ' max_R ', 29.42, ' times ', 10386)
(' ave_R ', 7.93, ' std_R ', 4.38, ' min_R ', 1.84, ' max_R ', 18.83, ' times ', 15243)
(' ave_R ', 7.65, ' std_R ', 5.48, ' min_R ', 0.83, ' max_R ', 23.24, ' times ', 20256)
(' ave_R ', 9.69, ' std_R ', 6.7, ' min_R ', 0.0, ' max_R ', 23.56, ' times ', 25346)
(' ave_R ', 7.98, ' std_R ', 5.62, ' min_R ', 1.76, ' max_R ', 20.68, ' times ', 30329)
(' ave_R ', 7.17, ' std_R ', 4.42, ' min_R ', 0.99, ' max_R ', 21.03, ' times ', 35524)
(' ave_R ', 7.13, ' std_R ', 6.43, ' min_R ', 0.99, ' max_R ', 23.71, ' times ', 40624)
(' ave_R ', 10.96, ' std_R ', 7.01, ' min_R ', 1.97, ' max_R ', 27.2, ' times ', 45846)
(' ave_R ', 10.64, ' std_R ', 5.65, ' min_R ', 0.0, ' max_R ', 20.59, ' times ', 50658)
(' ave_R ', 19.71, ' std_R ', 13.15, ' min_R ', 0.0, ' max_R ', 42.8, ' times ', 55555)
(' ave_R ', 20.94, ' std_R ', 12.98, ' min_R ', 1.75, ' max_R ', 44.56, ' times ', 60136)
(' ave_R ', 19.31, ' std_R ', 11.9, ' min_R ', 4.5, ' max_R ', 55.4, ' times ', 64977)
(' ave_R ', 21.32, ' std_R ', 15.52, ' min_R ', 2.64, ' max_R ', 58.84, ' times ', 69471)
(' ave_R ', 27.47, ' std_R ', 12.71, ' min_R ', 6.37, ' max_R ', 55.21, ' times ', 73773)
(' ave_R ', 24.15, ' std_R ', 11.03, ' min_R ', 5.52, ' max_R ', 46.57, ' times ', 78016)
(' ave_R ', 26.0, ' std_R ', 11.5, ' min_R ', 5.56, ' max_R ', 48.41, ' times ', 82198)
(' ave_R ', 25.76, ' std_R ', 10.4, ' min_R ', 5.6, ' max_R ', 44.35, ' times ', 86317)
(' ave_R ', 23.55, ' std_R ', 12.24, ' min_R ', 7.38, ' max_R ', 52.43, ' times ', 90424)
(' ave_R ', 21.81, ' std_R ', 9.11, ' min_R ', 9.2, ' max_R ', 41.9, ' times ', 94555)
(' ave_R ', 20.45, ' std_R ', 7.13, ' min_R ', 8.09, ' max_R ', 34.03, ' times ', 98715)
(' ave_R ', 19.82, ' std_R ', 10.68, ' min_R ', 5.94, ' max_R ', 39.8, ' times ', 102916)
(' ave_R ', 24.73, ' std_R ', 10.88, ' min_R ', 3.71, ' max_R ', 47.41, ' times ', 107071)
(' ave_R ', 22.74, ' std_R ', 9.32, ' min_R ', 7.55, ' max_R ', 41.15, ' times ', 111246)
(' ave_R ', 25.54, ' std_R ', 15.16, ' min_R ', 9.44, ' max_R ', 76.18, ' times ', 115520)
(' ave_R ', 24.06, ' std_R ', 10.86, ' min_R ', 10.3, ' max_R ', 47.58, ' times ', 119604)
(' ave_R ', 20.47, ' std_R ', 8.45, ' min_R ', 7.16, ' max_R ', 36.21, ' times ', 123996)
(' ave_R ', 21.77, ' std_R ', 9.61, ' min_R ', 4.83, ' max_R ', 41.49, ' times ', 128348)
(' ave_R ', 23.95, ' std_R ', 9.98, ' min_R ', 10.55, ' max_R ', 45.13, ' times ', 132686)
(' ave_R ', 19.79, ' std_R ', 9.56, ' min_R ', 5.62, ' max_R ', 40.1, ' times ', 137142)
(' ave_R ', 23.59, ' std_R ', 8.86, ' min_R ', 7.46, ' max_R ', 37.32, ' times ', 141631)
(' ave_R ', 21.05, ' std_R ', 11.34, ' min_R ', 7.47, ' max_R ', 45.84, ' times ', 146284)
(' ave_R ', 20.0, ' std_R ', 7.7, ' min_R ', 5.49, ' max_R ', 32.92, ' times ', 150702)
(' ave_R ', 22.88, ' std_R ', 11.59, ' min_R ', 5.42, ' max_R ', 51.09, ' times ', 155235)
(' ave_R ', 20.09, ' std_R ', 7.36, ' min_R ', 6.44, ' max_R ', 37.99, ' times ', 159808)
(' ave_R ', 25.27, ' std_R ', 14.46, ' min_R ', 2.38, ' max_R ', 73.06, ' times ', 164257)
(' ave_R ', 23.19, ' std_R ', 9.84, ' min_R ', 5.45, ' max_R ', 50.45, ' times ', 168854)
(' ave_R ', 23.99, ' std_R ', 14.09, ' min_R ', 9.18, ' max_R ', 58.4, ' times ', 173421)
(' ave_R ', 26.06, ' std_R ', 13.39, ' min_R ', 7.93, ' max_R ', 56.85, ' times ', 178206)
(' ave_R ', 23.0, ' std_R ', 9.31, ' min_R ', 6.5, ' max_R ', 42.38, ' times ', 182964)
(' ave_R ', 19.05, ' std_R ', 9.5, ' min_R ', 3.81, ' max_R ', 41.01, ' times ', 187820)
(' ave_R ', 21.61, ' std_R ', 9.63, ' min_R ', 7.81, ' max_R ', 41.37, ' times ', 192721)
(' ave_R ', 21.72, ' std_R ', 7.24, ' min_R ', 7.85, ' max_R ', 34.83, ' times ', 197318)
(' ave_R ', 19.94, ' std_R ', 11.28, ' min_R ', 7.44, ' max_R ', 54.65, ' times ', 202176)
(' ave_R ', 27.16, ' std_R ', 11.49, ' min_R ', 5.18, ' max_R ', 46.08, ' times ', 207022)
(' ave_R ', 22.2, ' std_R ', 9.85, ' min_R ', 6.04, ' max_R ', 42.2, ' times ', 211798)
(' ave_R ', 25.25, ' std_R ', 10.85, ' min_R ', 2.7, ' max_R ', 42.06, ' times ', 216805)
(' ave_R ', 22.13, ' std_R ', 9.51, ' min_R ', 9.14, ' max_R ', 48.94, ' times ', 222022)
(' ave_R ', 22.15, ' std_R ', 7.5, ' min_R ', 10.21, ' max_R ', 32.5, ' times ', 226994)
